Country,Clicks,Impressions,CTR,Position
ind,149,3586,0.04155047406581149,9.889291689905187
jpn,132,3638,0.03628367234744365,10.509070918086861
usa,33,23505,0.0014039566049776644,34.03501382684535
esp,23,1703,0.013505578391074574,14.452143276570757
gbr,23,3796,0.006059009483667018,19.992887249736565
fra,10,501,0.01996007984031936,21.890219560878243
tur,9,196,0.04591836734693878,10.387755102040817
aus,8,599,0.01335559265442404,22.823038397328883
bel,8,193,0.04145077720207254,7.300518134715026
can,8,724,0.011049723756906077,13.334254143646408
deu,7,855,0.008187134502923977,21.150877192982456
pak,7,399,0.017543859649122806,9.348370927318296
bgd,6,147,0.04081632653061224,12.687074829931973
ita,5,469,0.010660980810234541,15.298507462686567
vnm,5,327,0.01529051987767584,19.642201834862384
irn,4,50,0.08,8.68
rus,4,75,0.05333333333333334,10.173333333333334
bgr,3,59,0.05084745762711865,7.694915254237288
col,3,189,0.015873015873015872,11.37037037037037
grc,3,89,0.033707865168539325,8.022471910112358
mex,3,448,0.006696428571428571,11.738839285714286
nld,3,403,0.007444168734491315,24.558312655086848
pol,3,314,0.009554140127388535,26.62420382165605
sgp,3,182,0.016483516483516484,18.46153846153846
arg,2,249,0.008032128514056224,13.57429718875502
aut,2,67,0.029850746268656716,10.716417910447761
bra,2,598,0.0033444816053511705,11.954849498327759
cze,2,72,0.027777777777777776,10.11111111111111
hun,2,128,0.015625,11.90625
ltu,2,40,0.05,6.95
are,1,86,0.011627906976744186,7.825581395348837
blr,1,25,0.04,12.84
che,1,126,0.007936507936507936,17.11111111111111
chn,1,23,0.043478260869565216,12.043478260869565
cyp,1,25,0.04,7.2
egy,1,134,0.007462686567164179,14.17910447761194
fin,1,41,0.024390243902439025,14.951219512195122
gha,1,33,0.030303030303030304,3.9696969696969697
gnq,1,3,0.3333333333333333,4.666666666666666
hkg,1,71,0.014084507042253521,10.408450704225352
hnd,1,13,0.07692307692307693,16.923076923076923
isl,1,5,0.2,6.4
kor,1,198,0.005050505050505051,21.707070707070706
lbn,1,26,0.038461538461538464,7.423076923076923
lby,1,12,0.08333333333333333,12.333333333333334
lva,1,23,0.043478260869565216,4.434782608695652
nor,1,63,0.015873015873015872,10.88888888888889
tha,1,290,0.0034482758620689655,17.713793103448275
ukr,1,119,0.008403361344537815,17.45378151260504
zaf,1,167,0.005988023952095809,11.718562874251496
zmb,1,6,0.16666666666666666,2.166666666666667
afg,0,2,0,8
ago,0,9,0,14
ala,0,1,0,14
alb,0,26,0,5.769230769230769
and,0,2,0,5.5
arm,0,11,0,4.636363636363637
atg,0,6,0,8.333333333333332
aze,0,15,0,8.333333333333332
ben,0,2,0,42
bes,0,3,0,3.6666666666666665
bhr,0,6,0,8.666666666666668
bhs,0,17,0,6.411764705882353
bih,0,22,0,16.31818181818182
blz,0,7,0,5.571428571428571
bmu,0,1,0,4
bol,0,37,0,13.45945945945946
brb,0,16,0,5.625
brn,0,4,0,40.25
btn,0,2,0,42
bwa,0,2,0,1
chl,0,201,0,10.656716417910447
civ,0,8,0,6.25
cmr,0,15,0,4.933333333333334
cod,0,4,0,1.25
cog,0,1,0,7
cok,0,1,0,1
cpv,0,1,0,1
cri,0,26,0,8.346153846153847
cub,0,4,0,14.25
cuw,0,1,0,2
cym,0,2,0,6.5
dma,0,1,0,3
dnk,0,59,0,29.440677966101696
dom,0,36,0,8.694444444444445
dza,0,60,0,14.65
ecu,0,84,0,10.702380952380953
est,0,12,0,8.5
eth,0,26,0,6.038461538461538
fji,0,2,0,6
fro,0,1,0,4
gab,0,3,0,9.333333333333334
geo,0,7,0,5.571428571428571
gmb,0,1,0,2
grd,0,1,0,9
gtm,0,24,0,9.708333333333334
guf,0,1,0,20
gum,0,3,0,3
guy,0,7,0,10
hrv,0,48,0,8.541666666666668
idn,0,418,0,9.169856459330143
imn,0,3,0,6.666666666666667
irl,0,66,0,11.075757575757576
irq,0,39,0,16.48717948717949
isr,0,163,0,20.257668711656443
jam,0,31,0,6.612903225806452
jey,0,2,0,6
jor,0,26,0,10.153846153846153
kaz,0,17,0,10.470588235294118
ken,0,56,0,8.517857142857142
kgz,0,5,0,12.2
khm,0,18,0,13.222222222222221
kna,0,1,0,10
kwt,0,11,0,13.181818181818182
lao,0,2,0,4.5
lca,0,5,0,8.6
lie,0,2,0,7
lka,0,56,0,5.017857142857143
lux,0,14,0,5.428571428571429
mar,0,84,0,9.666666666666666
mda,0,14,0,7.571428571428571
mdg,0,11,0,3.272727272727273
mdv,0,4,0,3.5
mkd,0,6,0,3.6666666666666665
mli,0,2,0,9.5
mlt,0,14,0,8.214285714285715
mmr,0,17,0,8.823529411764707
mne,0,5,0,3.8
mng,0,5,0,5.2
moz,0,1,0,4
mrt,0,1,0,2
mus,0,4,0,8.75
mwi,0,9,0,5.222222222222222
mys,0,253,0,17.711462450592887
nam,0,5,0,4.2
nga,0,154,0,10.402597402597403
nic,0,10,0,6.7
npl,0,30,0,5.366666666666666
nzl,0,46,0,8.521739130434781
omn,0,16,0,7.8125
pan,0,23,0,13.869565217391305
per,0,104,0,12.39423076923077
phl,0,387,0,14.196382428940568
png,0,2,0,4.5
pri,0,26,0,6.153846153846154
prt,0,72,0,7.625
pry,0,13,0,6.6923076923076925
pse,0,4,0,33.75
pyf,0,1,0,2
qat,0,14,0,5.142857142857143
reu,0,2,0,3
rou,0,94,0,8.904255319148936
rwa,0,12,0,6.5
sau,0,80,0,10.3375
sdn,0,1,0,7
sen,0,15,0,5.933333333333334
sle,0,2,0,2.5
slv,0,20,0,13.85
som,0,1,0,1
srb,0,44,0,6.863636363636363
ssd,0,1,0,1
sur,0,1,0,1
svk,0,52,0,6.173076923076923
svn,0,22,0,6.681818181818182
swe,0,103,0,12.631067961165048
swz,0,1,0,1
sxm,0,3,0,5
syc,0,5,0,10
syr,0,7,0,7.857142857142857
tca,0,1,0,4
tcd,0,1,0,1
tjk,0,1,0,9
tls,0,1,0,1
tto,0,42,0,6.857142857142857
tun,0,35,0,5.314285714285714
twn,0,78,0,7.089743589743589
tza,0,14,0,2.071428571428571
uga,0,22,0,4.590909090909091
ury,0,20,0,9.05
uzb,0,13,0,5.3076923076923075
vct,0,1,0,3
ven,0,80,0,7.3875
vgb,0,1,0,6
vir,0,6,0,5.333333333333333
vut,0,1,0,9
wsm,0,1,0,8
xkk,0,5,0,6
yem,0,9,0,4.666666666666666
zwe,0,12,0,3.0833333333333335
