landingPage,activeUsers,newUsers,totalRevenue,bounceRate,averageSessionDuration,sessions
/,83,69,0,0.57471264367816088,170.01048687356322,87
/wp-ultimate-csv-importer-pro.html,40,28,0,0.25531914893617019,457.7736845106383,47
,28,3,238.2,0.88888888888888884,29.391945688888892,45
/cart.html,17,17,0,1,0,17
/404.html,13,13,0,0.84615384615384615,11.533117538461539,13
/blog/wordpress-ultimate-csv-importer-csv-sample-files-and-updates.html,11,10,0,0.5714285714285714,66.507594642857143,14
/documentation/wp-ultimate-csv-importer-pro/troubleshooting-guide,9,9,0,0.55555555555555558,458.68554966666659,9
/ja/blog/add-external-urls-to-featured-images-wordpress.html,8,8,0,0.75,152.101671125,8
/my-account.html,8,6,0,0.1111111111111111,303.73610955555552,9
/documentation/woocommerce-to-shopify-integration/w2s-sync-configuration,7,1,0,0.14285714285714285,615.643786142857,7
/woocommerce-to-shopify-sync-pro.html,7,1,0,0.25,1292.3639405000001,12
/blog.html,5,3,0,0.6,70.917401800000007,5
/blog/how-to-install-wamp-and-xampp.html,5,5,0,0.4,360.17098580000004,5
/deals.html,5,5,0,0.8,5.5083948,5
/support.html,5,5,0,0.8,49.6090858,5
/blog/enable-configure-wp-cron.html,4,2,0,0.25,551.94299275,4
/blog/how-to-install-ioncube-loaders-simple-steps-for-various-hosting-types.html,4,2,0,0.5,217.2684705,4
/wordpress.html,4,3,0,0.75,1249.24318825,4
/wp-leads-builder-any-crm-pro.html,4,4,0,0.75,68.49870225,4
/about-us.html,3,3,0,0.66666666666666663,1150.2016643333334,3
/blog/bulk-update-woocommerce-prices-and-stocks-using-csv.html,3,3,0,1,0,3
/blog/export-import-advanced-custom-fields-csv-wordpress.html,3,2,0,0.8,58.5431334,5
/blog/how-to-import-page-to-wordpress.html,3,3,0,0.33333333333333331,185.49070666666668,3
/documentation/woocommerce-to-shopify-integration/woocommerce-to-shopify-integration-authentication-setup,3,1,0,0.2,782.51146959999994,5
/documentation/wp-ultimate-csv-importer-pro/how-to-import-csv,3,1,0,0.25,34.39813425,4
/documentation/wp-ultimate-csv-importer-pro/import-wordpress-categories-and-tags,3,2,0,0.66666666666666663,32.511501333333335,3
/documentation/wp-ultimate-csv-importer-pro/jet-engine-data-import,3,1,0,0,749.71253633333333,3
/blog.html/page/3,2,2,0,1,0,2
/blog/ai-generated-wordpress-content-import.html,2,2,0,0.5,8.8373865,2
/blog/create-custom-taxonomies-with-acf.html,2,2,0,0.5,111.883828,2
/blog/how-to-import-csv-file-in-wordpress-without-plugin.html,2,1,0,0.33333333333333331,876.462356,3
/blog/how-to-prepare-woocommerce-for-high-traffic.html,2,2,0,1,0,2
/blog/wordpress-backup-restore-strategy.html,2,2,0,0.5,8.1748095,2
/contact-us.html,2,2,0,0,306.2987585,2
/documentation.html,2,1,0,0.5,48.089557,2
/documentation/wp-ultimate-csv-importer-pro/custom-field-suite-import,2,2,0,0,30.345721666666666,3
/documentation/wp-ultimate-csv-importer-pro/how-to-import-woocommerce-orders,2,2,0,1,0,2
/documentation/wp-ultimate-csv-importer-pro/import-images-into-wordpress,2,2,0,0.66666666666666663,6.7275323333333334,3
/documentation/wp-ultimate-csv-importer-pro/woocommerces,2,1,0,0.5,378.6574815,2
/es/documentation/wp-ultimate-csv-importer-pro/importar-eventos-a-wordpress,2,2,0,1,0,2
/es/wp-ultimate-csv-importer-pro.html,2,1,0,0.5,8.5240655,2
/ja/blog/how-to-import-csv-file-in-wordpress.html,2,2,0,0.5,20.7018545,2
/ja/blog/how-to-import-page-to-wordpress.html,2,2,0,0.5,18.602627,2
/ja/documentation/wp-ultimate-csv-importer/how-to-import-csv,2,1,0,0,11.699387,2
/ja/documentation/wp-ultimate-csv-importer/import-images-into-wordpress,2,1,0,0,54.666,2
/my-account.html/lost-password,2,2,0,0,162.577081,2
/partnership.html,2,2,0,1,0,2
/wp-ultimate-csv-importer-pro/features.html,2,1,0,0.66666666666666663,52.009904,3
/wp-ultimate-csv-importer-pro/polylang-import-translation.html,2,2,0,0.5,38.7787525,2
/wp-ultimate-csv-importer-pro/pricing.html,2,2,0,1,1.8314625,2
/affiliate-area/graphs,1,1,0,1,0,1
/blog.html/3,1,1,0,1,0,1
/blog.html/5,1,1,0,1,0,1
/blog.html/page/4,1,1,0,1,0,1
/blog.html/page/5,1,1,0,1,0,1
/blog/best-woocommerce-plugins.html,1,0,0,1,8.216661,1
/blog/best-wordpress-speed-optimization-plugins.html,1,1,0,1,0,1
/blog/create-custom-fields-with-acf-in-wordpress.html,1,1,0,1,0,1
/blog/essential-steps-to-launch-a-wordpress-site-the-right-way.html,1,1,0,1,0,1
/blog/export-import-single-wordpress-post-page-product.html,1,1,0,1,0,1
/blog/how-to-restore-wordpress-site-from-backup.html,1,1,0,1,0,1
/blog/import-export-custom-post-types-plugin-data.html,1,1,0,0,10.212838,1
/blog/improve-core-web-vitals-in-wordpress.html,1,1,0,1,1.012983,1
/blog/monthly-wordpress-maintenance-checklist.html,1,1,0,1,0,1
/blog/optimize-wordpress-database-for-large-sites.html,1,1,0,1,6.937051,1
/blog/polylang-import-translation-guide.html,1,1,0,1,0,1
/blog/woocommerce-variable-pricing-calculator.html,1,1,0,1,0,1
/blog/wordpress-admin-productivity-hacks.html,1,1,0,1,0,1
/blog/wordpress-security-best-practices.html,1,1,0,1,0,1
/blog/wordpress-security-checklist.html,1,1,0,1,0,1
/blog/wordpress-seo-plugins.html,1,1,0,0,34.450049,1
/blog/wp-query-ultimate-csv-importer-pro.html,1,1,0,1,0,1
/blog/wp-ultimate-csv-importer-8-12-edd.html,1,1,0,1,9.408129,1
/careers.html,1,1,0,1,0,1
/crocoblock-deals.html,1,0,0,0,1387.974481,1
/documentation/woocommerce-to-shopify-integration,1,0,0,1,5.893178,1
/documentation/woocommerce-to-shopify-integration/w2s-getting-started,1,1,0,1,0,1
/documentation/woocommerce-to-shopify-integration/woocommerce-to-shopify-integration-plugin,1,1,0,1,0,1
/documentation/wordpress-leads-builder-for-any-crm-pro,1,1,0,1,0,1
/documentation/wordpress-leads-builder-for-any-crm-pro/community-version,1,1,0,1,0,1
/documentation/wordpress-leads-builder-for-any-crm-pro/lead-builder-for-any-crm,1,1,0,1,0,1
/documentation/wp-ultimate-csv-importer-pro,1,1,0,1,0,2
/documentation/wp-ultimate-csv-importer-pro/how-to-import-variable-products-in-woocommerce,1,0,0,0.66666666666666663,553.73730033333334,3
/documentation/wp-ultimate-csv-importer-pro/import-and-export-listings-and-owners-in-wp-rentals,1,1,0,1,5.357555,1
/documentation/wp-ultimate-csv-importer-pro/import-and-export-lms-data,1,1,0,0,10.181047,1
/documentation/wp-ultimate-csv-importer-pro/import-and-export-woocommerce-reviews,1,1,0,1,0,1
/documentation/wp-ultimate-csv-importer-pro/import-export-edd-discounts,1,0,0,0,701.48046,1
/documentation/wp-ultimate-csv-importer-pro/import-export-edd-orders,1,1,0,1,0,1
/documentation/wp-ultimate-csv-importer-pro/import-woocommerce-customers,1,1,0,1,0,1
/documentation/wp-ultimate-csv-importer-pro/importer-faq,1,1,0,1,0,1
/documentation/wp-ultimate-csv-importer-pro/learnpress-data-import,1,1,0,0.5,1721.5916625,2
/documentation/wp-ultimate-csv-importer-pro/polylang-multilingual-content-import-export,1,1,0,1,0,1
/documentation/wp-ultimate-csv-importer-pro/wpml-multilingual-import,1,1,0,0,61.355377,1
/documentation/wp-ultimate-exporter/wordpress-exporter-guide,1,0,0,0,21.454003,1
/es/blog/como-anadir-urls-externas-a-las-imagenes-destacadas-en-wordpress.html,1,1,0,1,0,1
/es/blog/como-instalar-wamp-y-xampp.html,1,1,0,1,0,1
/es/blog/ejemplos-de-archivos-csv-y-xml-para-la-importacion-de-prueba-wp-ultimate-csv-xml-importer.html,1,1,0,0,100.311881,1
/es/blog/importar-paginas-a-wordpress-una-guia-util.html,1,1,0,0,766.091028,1
/es/blog/importar-y-exportar-clientes-de-woocommerce.html,1,1,0,0,25.471989,1
/es/blog/la-forma-mas-sencilla-de-importar-clientes-a-woocommerce.html,1,1,0,1,0,1
/es/caja.html,1,1,0,1,0,1
/es/documentation/wp-ultimate-csv-importer-pro/importacion-de-csv-de-woocommerce,1,1,0,1,9.499326,1
/es/documentation/wp-ultimate-csv-importer-pro/importar-categorias-y-etiquetas-de-wordpress,1,1,0,0,51.124494,1
/es/documentation/wp-ultimate-csv-importer-pro/importar-exportar-miembros-de-usuario,1,1,0,0,87.301865,1
/es/documentation/wp-ultimate-csv-importer-pro/importar-listados-de-directorios-comerciales-en-wordpress,1,1,0,1,0,1
/es/documentation/wp-ultimate-csv-importer-pro/integracion-de-ia,1,1,0,0,88.912562,1
/es/documentation/wp-ultimate-csv-importer-pro/modulos-de-importacion-csv-definitivos-de-wordpress,1,1,0,1,0,1
/es/politica-de-privacidad.html,1,1,0,1,0,1
/es/wp-ultimate-csv-importer-pro/importacion-exportacion-jetengine-con-ultimate-csv-importer.html,1,1,0,1,0,1
/es/wp-ultimate-csv-importer-pro/importar-productos-de-woocommerce.html,1,1,0,1,4.575335,1
/es/wp-ultimate-csv-importer-pro/traduccion-de-importacion-de-polylang.html,1,1,0,1,0,1
/ha-nav-content/ha-megamenu-content-69899,1,1,0,1,0,1
/ja,1,1,0,1,0,1
/ja/blog/ai-in-wordpress.html,1,1,0,1,0,1
/ja/blog/blog-create-and-import-custom-post-types-in-wordpress.html,1,1,0,0,17.220502,1
/ja/blog/create-custom-fields-with-acf-in-wordpress.html,1,1,0,0,28.070767,1
/ja/blog/create-custom-taxonomies-with-acf.html,1,1,0,0,173.243788,1
/ja/blog/enable-configure-wp-cron.html,1,1,0,1,0,1
/ja/blog/export-import-advanced-custom-fields-csv-wordpress.html,1,1,0,0,20.902804,1
/ja/blog/how-to-install-wamp-and-xampp.html,1,1,0,1,0,1
/ja/documentation/wp-ultimate-csv-importer/import-and-export-wordpress-users,1,1,0,1,0,1
/ja/documentation/wp-ultimate-csv-importer/import-data-from-excel-to-wordpress,1,1,0,0,41.962589,1
/ja/documentation/wp-ultimate-csv-importer/metabox-import-export,1,1,0,1,2.085429,1
/ja/partnership.html,1,1,0,1,0,1
/ja/wp-all-import-alternative.html,1,1,0,1,2.569892,1
/ja/wp-ultimate-csv-importer-pro/import-acf-custom-fields-from-csv.html,1,1,0,1,0,1
/manage-large-wordpress-sites-without-slowing-down.html,1,1,0,1,0,1
/my-account.html/edit-account,1,0,0,0,13.215353,1
/privacy-policy.html,1,1,0,1,0,1
/shop,1,1,0,1,5.244042,1
/wp-all-import-alternative.html,1,1,0,0,10.734028,1
/wp-ultimate-csv-importer-pro/changelog.html,1,1,0,1,0,1
/wp-ultimate-csv-importer-pro/jetengine-cct-import.html,1,1,0,1,0,1
/wp-ultimate-csv-importer-pro/woocommerce-import-products.html,1,0,0,0,224.277376,1
/wp-ultimate-exporter.html,1,1,0,0,30.744659,1
/blog/add-external-urls-to-featured-images-wordpress.html,0,0,0,1,0,2
/blog/scaling-woocommerce-manage-products-orders.html,0,0,0,1,0,1
