country,activeusers,newusers,engagedsessions,engagementrate,averagesessionduration,eventcount,totalrevenue,clicks,impressions,ctr,position,errors
China,85,84,5,0.0588235294117647,10.300088188235293,262,0.0,0,0,0,0,
United States,48,46,14,0.2592592592592592,66.29191603703704,273,299.0,0,0,0,0,
Japan,24,20,25,0.78125,282.312973875,258,199.0,0,0,0,0,
Spain,18,17,13,0.6842105263157894,284.59433794736844,117,0.0,0,0,0,0,
India,16,14,15,0.7142857142857143,376.08403838095234,291,0.0,0,0,0,0,
Germany,10,7,6,0.375,203.7971611875,81,0.0,0,0,0,0,
Netherlands,10,10,10,1.0,201.2333916,140,0.0,0,0,0,0,
Australia,9,9,8,0.5,159.5022745,145,239.2,0,0,0,0,
United Kingdom,9,7,7,0.6363636363636364,140.30780572727272,61,0.0,0,0,0,0,
Russia,7,6,3,0.375,172.17075987500002,63,0.0,0,0,0,0,
Canada,5,4,2,0.2857142857142857,34.38568071428571,28,0.0,0,0,0,0,
Italy,5,4,4,0.5714285714285714,400.19507757142856,70,99.0,0,0,0,0,
Algeria,3,3,2,0.4,108.192645,19,0.0,0,0,0,0,
Argentina,3,2,2,0.6666666666666666,346.55840966666665,17,0.0,0,0,0,0,
France,3,3,1,0.25,2.75055,12,0.0,0,0,0,0,
Pakistan,3,2,3,1.0,671.6864380000001,37,0.0,0,0,0,0,
TÃ¼rkiye,3,3,1,0.3333333333333333,18.72654066666667,21,0.0,0,0,0,0,
Cambodia,2,2,2,1.0,280.3181865,11,0.0,0,0,0,0,
Latvia,2,2,2,1.0,15.2418455,8,0.0,0,0,0,0,
Mexico,2,2,2,1.0,18.9822855,13,0.0,0,0,0,0,
Romania,2,2,2,1.0,18.1407425,15,0.0,0,0,0,0,
Serbia,2,1,2,1.0,83.7518705,18,0.0,0,0,0,0,
Slovakia,2,2,1,0.5,211.038484,12,0.0,0,0,0,0,
South Africa,2,2,2,1.0,340.6234825,26,0.0,0,0,0,0,
Sweden,2,2,2,0.6666666666666666,47.874327333333326,13,0.0,0,0,0,0,
Thailand,2,2,2,1.0,787.8868025,14,0.0,0,0,0,0,
Albania,1,1,0,0.0,2.648574,4,0.0,0,0,0,0,
Belgium,1,1,3,1.0,1120.4048506666666,24,0.0,0,0,0,0,
Cameroon,1,1,0,0.0,0.0,3,0.0,0,0,0,0,
Chile,1,1,1,1.0,40.985538,7,0.0,0,0,0,0,
Colombia,1,0,1,0.25,21.4505045,9,0.0,0,0,0,0,
Egypt,1,1,1,1.0,11.140094,4,0.0,0,0,0,0,
Estonia,1,1,1,0.5,22.696927,17,0.0,0,0,0,0,
Greece,1,1,1,1.0,22.081727,7,0.0,0,0,0,0,
Hong Kong,1,1,0,0.0,0.0,3,0.0,0,0,0,0,
Hungary,1,0,0,0.0,9.704259,5,0.0,0,0,0,0,
Ireland,1,1,0,0.0,2.620556,4,0.0,0,0,0,0,
Kazakhstan,1,1,0,0.0,0.0,3,0.0,0,0,0,0,
Malaysia,1,0,1,1.0,488.983222,12,0.0,0,0,0,0,
Malta,1,0,1,1.0,48.216462,9,0.0,0,0,0,0,
Portugal,1,1,1,1.0,355.655098,11,0.0,0,0,0,0,
Switzerland,1,1,0,0.0,3.008174,7,0.0,0,0,0,0,
Ukraine,1,0,1,1.0,7.047632,3,0.0,0,0,0,0,
Uzbekistan,1,1,1,1.0,22.710438,5,0.0,0,0,0,0,
,0,0,0,0.0,0.0,125,0.0,0,0,0,0,
(not set),0,0,0,0.0,0.0,101,0.0,0,0,0,0,
Bangladesh,0,0,0,0.0,0.0,2,0.0,0,0,0,0,
Maldives,0,0,0,0.0,0.0,2,0.0,0,0,0,0,
